ionIdx,ionMz,ionAverageInt,Top annotation formula,Top annotation ion
196,161.0103421628887,3189.780148706055,C6H10OS2,-H(-)
197,161.02469870870019,5574.007873152871,C9H6O3,-H(-)
198,161.03910676515852,13005.102965461161,C13H6; C5H10N2O2S,-H(-); -H(-)
199,161.0452392619146,29087.44225796316,C6H10O5,-H(-)
200,161.06217826780772,6315.704604679969,C10H10O2,-H(-)
201,162.04256140977913,47836.2225053719,C6H13NS2; C6H5N5O,-H(-); -H(-)
202,162.0763477321895,2565.0899148848434,C6H13NO4,-H(-)
203,163.0400697731422,22550.469074324206,C9H8O3,-H(-)
204,163.06119824385513,74613.25846957375,C6H12O5; C7H16S2,-H(-); -H(-)
205,163.07679122533267,18439.78000731373,C10H12O2,-H(-)
206,163.0955982248376,5708.0338515598105,C7H16O4,-H(-)
207,164.0223308291521,6105.09759045363,C5H3N5O2,-H(-)
208,164.0394705577402,18780.695372120084,C5H11NO3S,-H(-)
209,164.07191444690994,1230208.577957111,C9H11NO2,-H(-)
210,165.0193209319977,24581.254946143246,C8H6O4,-H(-)
211,165.04108299592704,22673.358503026,C5H10O6; C6H14OS2; C6H6N4O2,-H(-); -H(-); -H(-)
212,165.05600430795278,13860.550790067582,C9H10O3,-H(-)
213,165.07507584097627,131755.81938046415,C10H14S,-H(-)
214,165.97915842314458,6436.222202752668,C7H5NS2,-H(-)
215,166.01741671868893,4643.869519039202,C4H9NO4S,-H(-)
216,166.0875769693286,3688.5963149629956,C9H13NO2,-H(-)
217,167.0208581806131,429090.87752484495,C5H4N4O3,-H(-)
218,167.1440708447058,2706.5310026500356,C11H20O,-H(-)
219,167.9963356684012,6854.0224016547745,C3H7NO5S,-H(-)
220,168.07781915501164,7101.650989747709,C7H11N3O2,-H(-)
221,169.04979379304248,6126.478177571347,C8H10O4,-H(-)
222,169.0658195432351,17220.46713600368,C12H10O,-H(-)
223,169.12304370448723,6597.49052300679,C10H18O2,-H(-)
224,170.05703174766867,3460.903916012329,C6H9N3O3,-H(-)
225,171.01188499030778,7765.197752258603,C7H8O3S,-H(-)
226,171.06617387677946,20570.51797369146,C8H12O4,-H(-)
227,171.0821486658648,5577.709623141033,C12H12O,-H(-)
228,171.10259836193433,25141.974239807165,C9H16O3,-H(-)
229,171.1169865268157,4775.187914267497,C13H16,-H(-)
230,171.13892892173138,44531.02266528925,C10H20O2,-H(-)
231,172.00098449123723,1441.348586074804,C6H5O6,-H(-)
232,172.04108446607944,3950.3309898465736,C10H7NO2,-H(-)
233,172.06132915663306,3940.5633858300916,C7H11NO4,-H(-)
234,172.09797086832378,20719.699132205445,C8H15NO3,-H(-)
235,172.90110354883686,5157.138643510433,C2H6S2Se,-H(-)
236,172.9913124070346,179044.66302056643,C6H6O4S,-H(-)
237,173.0446850649417,34341.737673366486,C7H10O5,-H(-)
238,173.0825894303482,24962.237413197316,C8H14O4,-H(-)
239,173.10445361410518,331424.88278500125,C6H14N4O2,-H(-)
240,174.00615533549208,6958.433387342519,C6H9NOS2,-H(-)
241,174.03954910644595,5947.376338480766,C6H9NO5,-H(-)
242,174.0561214279524,4716.256671623326,C10H9NO2,-H(-)
243,174.07787326183615,3101.953318019999,C7H13NO4,-H(-)
244,175.02481203147218,4813.370829168012,C6H8O6,-H(-)
245,175.0400708446194,3141.7322857594054,C10H8O3,-H(-)
246,175.06092046933608,7582.215150395467,C7H12O5,-H(-)
247,175.07635176696007,8321.698872245175,C11H12O2,-H(-)
248,175.0881973683595,2739.6710662133587,C10H12N2O,-H(-)
249,176.0703042970005,2258.854039390711,C10H11NO2,-H(-)
250,176.09235497819387,910.9196997017516,C7H15NO4,-H(-)
251,176.98806982337098,3003.1527485821007,C6H10S3,-H(-)
252,177.02182955417626,4608.444949246055,C6H10O4S,-H(-)
