ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,label (bona fide),HMDB ids,KEGG ids,other ids
64,111.02019422752922,72730.39415342206,-0.00019352752921975025,C4H4N2O2,-H(-),Uracil,HMDB0000300; HMDB00300; HMDB0060760; HMDB60760,C00106,; CHEBI:17568
65,112.02354495733633,3986.4689000856847,-0.0009017573363223619,C5H7NS,-H(-),"2,4-Dimethylthiazole",HMDB0032974; HMDB0032975; HMDB0032976; HMDB0033867; HMDB0038460; HMDB32974; HMDB32975; HMDB32976; HMDB33867; HMDB38460,,
66,112.03884677525257,3511.0682006467373,0.0015549247474382355,C5H7NO2,-H(-),Pyrroline carboxylic acid,HMDB0001301; HMDB01301; HMDB02240,C04322,CHEBI:1372
67,112.05170372158567,47869.48091003439,-6.86215856688932e-05,C4H7N3O,-H(-),Creatinine,HMDB0000562; HMDB00562,C00791,CHEBI:16737
68,113.02447464750492,34485.06202516573,-5.734750492081275e-05,C5H6O3,-H(-),"2-Hydroxy-2,4-pentadienoic acid",HMDB0031859; HMDB0060461; HMDB31859; HMDB60461,,; CHEBI:28993; CHEBI:74456
69,113.03577999839133,43721.10779534745,-0.0001292983913288026,C4H6N2O2,-H(-),Dihydrouracil,HMDB0000076; HMDB0003646; HMDB00076; HMDB03646,C00429; C02565,CHEBI:15901; CHEBI:16354
70,114.05623515307857,382707.23223107774,-0.00018345307857714488,C5H9NO2,-H(-),Proline,HMDB0000162; HMDB0003411; HMDB0012880; HMDB00162; HMDB0030409; HMDB0034208; HMDB03411; HMDB12880; HMDB30409; HMDB34208,C00148; C00763; C18170,; CHEBI:16313; CHEBI:17203; CHEBI:30322
71,115.00385887931147,13179.890647012207,-0.0001769793114760887,C4H4O4,-H(-),Fumarate,HMDB0000134; HMDB0000176; HMDB00134; HMDB00176,C00122; C01384,CHEBI:18012; CHEBI:18300
72,115.05948696263064,27634.13744549893,-0.0007927626306383218,C6H12S,-H(-),2-Methyl-1-methylthio-2-butene,HMDB0032411; HMDB0040244; HMDB32411; HMDB40244,,
72,115.05948696263064,27634.13744549893,-0.00045833714236209744,C5H9NO2,-H(-) [+1],Proline,HMDB0000162; HMDB0003411; HMDB0012880; HMDB00162; HMDB0030409; HMDB0034208; HMDB03411; HMDB12880; HMDB30409; HMDB34208,C00148; C00763; C18170,; CHEBI:16313; CHEBI:17203; CHEBI:30322
73,116.05073956661,151112.00913580685,-0.00016706661000398526,C8H7N,-H(-),Benzeneacetonitrile,HMDB0034171; HMDB34171,C16074,CHEBI:25979
73,116.05073956661,151112.00913580685,0.0009757333900068943,C5H7NO,.F(-),1-Cyano-2-hydroxy-3-butene,HMDB0031339; HMDB0032968; HMDB0032969; HMDB0032970; HMDB31339; HMDB32968; HMDB32969; HMDB32970,,; CHEBI:1178473
74,116.07181142358168,927762.9559220384,-0.00010972358168714891,C5H11NO2,-H(-),Valine; Betaine,HMDB0000043; HMDB0000883; HMDB0001382; HMDB0002141; HMDB0003355; HMDB00043; HMDB0013716; HMDB0015550; HMDB00883; HMDB01382; HMDB02141; HMDB03355; HMDB13716; HMDB15550; HMDB34366,C00183; C00431; C00719; C01799; C07457,; CHEBI:134261; CHEBI:15887; CHEBI:16414; CHEBI:17750; CHEBI:2691; CHEBI:28804; CHEBI:55344
75,117.01947273839502,20663.559959228656,-0.00014083839502632145,C4H6O4,-H(-),Succinate,HMDB0000202; HMDB0000254; HMDB0000349; HMDB0000940; HMDB00202; HMDB00254; HMDB0031204; HMDB00349; HMDB0039324; HMDB00940; HMDB0130020; HMDB02475; HMDB31204; HMDB39324,C00042; C02170,; CHEBI:15741; CHEBI:290972; CHEBI:30860; CHEBI:71176
76,117.07517210526827,53001.09500828491,-0.0008279052682667043,C6H14S,-H(-),Diisopropyl sulfide,HMDB0029579; HMDB0031431; HMDB0039806; HMDB29579; HMDB31431; HMDB39806,,
76,117.07517210526827,53001.09500828491,-0.00048796220185920447,C5H11NO2,-H(-) [+1],Valine; Betaine,HMDB0000043; HMDB0000883; HMDB0001382; HMDB0002141; HMDB0003355; HMDB00043; HMDB0013716; HMDB0015550; HMDB00883; HMDB01382; HMDB02141; HMDB03355; HMDB13716; HMDB15550; HMDB34366,C00183; C00431; C00719; C01799; C07457,; CHEBI:134261; CHEBI:15887; CHEBI:16414; CHEBI:17750; CHEBI:2691; CHEBI:28804; CHEBI:55344
77,118.05115775306948,74679.30599143264,-0.0001914530694904215,C4H9NO3,-H(-),Threonine,HMDB0000167; HMDB0000719; HMDB0004041; HMDB00167; HMDB0061148; HMDB0061877; HMDB00719; HMDB04041; HMDB61148; HMDB61877,C00188; C00263; C05519,; CHEBI:15699; CHEBI:16080; CHEBI:16857; CHEBI:28718
78,119.0172492712797,31244.09112327285,-2.5871279689226867e-05,C4H8O2S,-H(-),3-(Methylthio)propionic acid,HMDB0001527; HMDB0035646; HMDB0112255; HMDB01527; HMDB35646,C03173; C08276,; CHEBI:1438; CHEBI:47870
78,119.0172492712797,31244.09112327285,0.0001228600679610281,C3H5NO4,-H(-) [+1],Aminomalonic acid,HMDB0034259; HMDB34259,C05669,CHEBI:16348
79,119.03554784895628,47349.05746649019,-0.0005659489562788167,C4H8O4,-H(-),Tetrose,HMDB0000337; HMDB0000360; HMDB0000498; HMDB0002453; HMDB0002601; HMDB0002649; HMDB0006293; HMDB00337; HMDB00360; HMDB00498; HMDB02453; HMDB02601; HMDB02649; HMDB06118; HMDB06293,C01796; C02045,; CHEBI:23956; CHEBI:27913; CHEBI:36532; CHEBI:86348; CHEBI:86371; CHEBI:86391
79,119.03554784895628,47349.05746649019,0.000771651043720567,C5H4N4,-H(-),Purine,HMDB0001366; HMDB01366,C15587,CHEBI:17258
80,119.05070984294547,52901.317199509285,-0.0004717429454643707,C8H8O,-H(-),Phenylacetaldehyde,HMDB0004072; HMDB0006236; HMDB0013815; HMDB0029636; HMDB0029637; HMDB0029638; HMDB0033910; HMDB0038997; HMDB0062765; HMDB0124943; HMDB04072; HMDB06236; HMDB13815; HMDB29636; HMDB29637; HMDB29638; HMDB33910; HMDB38997; HMDB62765,C00601; C02083; C05627; C06758; C07113; C07209; C07214,; CHEBI:16424; CHEBI:17907; CHEBI:1883; CHEBI:27434; CHEBI:27632; CHEBI:28476; CHEBI:28617; CHEBI:87607
