ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,HMDB ids,KEGG ids,other ids
603,297.1348446266077,26721.424123321725,-0.00048352660769523936,C15H22O6,-H(-),HMDB0036159; HMDB0037560; HMDB36159; HMDB37560,,
604,297.16983743975106,14094.463264591954,0.0009090602489436606,C16H26O5,-H(-),HMDB0015643; HMDB15643,,; CHEBI:195280
605,297.1866733671811,8732.218822143379,-0.0006706671811116394,C20H26O2,-H(-),HMDB0012794; HMDB0014855; HMDB0040644; HMDB0060092; HMDB12794; HMDB14855; HMDB40644; HMDB60092,C05028,; CHEBI:133794; CHEBI:7627
605,297.1866733671811,8732.218822143379,0.00047213281897029447,C17H26O3,.F(-),HMDB0030801; HMDB0030974; HMDB0031928; HMDB0137260; HMDB30801; HMDB30974; HMDB31928,C10482; C16792,
606,297.22247735619464,64272.98843734012,-8.925619459887457e-05,C21H30O,-H(-),HMDB0033862; HMDB33862,,
606,297.22247735619464,64272.98843734012,0.0010535438053693724,C18H30O2,.F(-),HMDB0001388; HMDB0003073; HMDB0030962; HMDB0030963; HMDB0030964; HMDB01388; HMDB03073; HMDB30962; HMDB30963; HMDB30964,C06426; C06427; C08364,; CHEBI:27432; CHEBI:28661; CHEBI:38383; CHEBI:86148
607,297.2428395664047,50552.30447949637,0.0006777335952961039,C18H34O3,-H(-),HMDB0010736; HMDB0030979; HMDB0030980; HMDB0030981; HMDB0031127; HMDB0034074; HMDB0034297; HMDB0061650; HMDB10736; HMDB30979; HMDB30980; HMDB30981; HMDB31127; HMDB34074; HMDB34297; HMDB61650,C08365,; CHEBI:28592; CHEBI:50576; CHEBI:85661
608,298.0680555486067,3184.3233802215177,0.0016702513933068985,C9H18NO8P,-H(-),HMDB0001016; HMDB01016,C03492,CHEBI:15905
609,299.12274166849386,11050.299943484712,-0.00038486849382479704,C17H20N2OS,-H(-),HMDB0013938; HMDB13938,,
610,299.20259565502647,9271.268002553967,-0.0009429550264599129,C20H28O2,-H(-),HMDB0001852; HMDB0002369; HMDB0006219; HMDB0012329; HMDB0012788; HMDB0012874; HMDB0036564; HMDB0036697; HMDB0036710; HMDB0036711; HMDB0038702; HMDB0041925; HMDB0061925; HMDB01852; HMDB02369; HMDB06219; HMDB12329; HMDB12788; HMDB12874; HMDB36564; HMDB36697; HMDB36710; HMDB36711; HMDB38702; HMDB41925; HMDB61925,C00777; C15493; C16683,; CHEBI:15367; CHEBI:50648; CHEBI:6067; D00348
610,299.20259565502647,9271.268002553967,0.0001998449735651775,C17H28O3,.F(-),HMDB0012535; HMDB0032675; HMDB0036422; HMDB0041388; HMDB0094642; HMDB0112087; HMDB0112095; HMDB0112098; HMDB12535; HMDB32675; HMDB36422; HMDB41388; HMDB94642,,; CHEBI:63977
611,299.25990930698947,21475.79484762591,-0.000742006989469246,C18H36O3,-H(-),HMDB0010737; HMDB0037396; HMDB0061661; HMDB0061662; HMDB0061706; HMDB0062549; HMDB0112180; HMDB0112181; HMDB0112182; HMDB0112183; HMDB0112193; HMDB10737; HMDB37396; HMDB61661; HMDB61662; HMDB61706; HMDB62549,,; CHEBI:136406; CHEBI:136638; CHEBI:19660; CHEBI:85208
612,300.0392533249583,9115.472805724481,0.00022127504172431145,C8H15NO9S,-H(-),HMDB0000781; HMDB0000814; HMDB0000841; HMDB00781; HMDB00814; HMDB00841,C04132; C16265,; CHEBI:28132
613,300.04826654643887,5331.68493160606,0.0007238535611691077,C8H16NO9P,-H(-),HMDB0001062; HMDB0001121; HMDB0001367; HMDB0002817; HMDB0006480; HMDB0059626; HMDB01062; HMDB01121; HMDB01367; HMDB02817; HMDB06480; HMDB59626,C00357; C04256; C04257; C18060,; CHEBI:15784; CHEBI:44313; CHEBI:55404; CHEBI:62165; CHEBI:7125
613,300.04826654643887,5331.68493160606,-0.00026239604824240814,C10H12N4O5S,-H(-) [+1],HMDB0015544; HMDB15544,C07771,CHEBI:100207
614,300.9951574974493,2969.1811846591863,0.0023315025506462916,C8H15O6PS2,-H(-),HMDB0060626; HMDB60626,,
615,301.07228350834686,9170.381760383178,-0.0005224083468533536,C16H14O6,-H(-),HMDB0005782; HMDB0029491; HMDB0030746; HMDB0031657; HMDB0031912; HMDB0032245; HMDB0035616; HMDB0037507; HMDB0039377; HMDB0040316; HMDB0040560; HMDB0041673; HMDB0126500; HMDB0126501; HMDB0127498; HMDB0127499; HMDB0128061; HMDB0128200; HMDB0128215; HMDB0128583; HMDB0129336; HMDB0129419; HMDB0129960; HMDB0130167; HMDB0130168; HMDB0130319; HMDB0130321; HMDB0130329; HMDB0130330; HMDB0132139; HMDB0132871; HMDB0132874; HMDB0132885; HMDB0133775; HMDB0133776; HMDB0133778; HMDB0133779; HMDB0136020; HMDB0137308; HMDB0138084; HMDB0140574; HMDB0140820; HMDB0140845; HMDB05782; HMDB29491; HMDB30746; HMDB31657; HMDB31912; HMDB32245; HMDB35616; HMDB37507; HMDB39377; HMDB40316; HMDB40560; HMDB41673,C01709; C10419,; CHEBI:244674; CHEBI:28230; CHEBI:7444
616,301.20183909014247,6608.902030144447,0.0002074098575235439,C16H30O5,-H(-),HMDB0037830; HMDB0037831; HMDB37830; HMDB37831,,
616,301.20183909014247,6608.902030144447,0.001545009857579771,C17H26N4O,-H(-),HMDB0015216; HMDB15216,C07785,CHEBI:4779
617,301.2176693155755,18480.191589684684,-0.00036661557550132784,C20H30O2,-H(-),HMDB0001999; HMDB0003598; HMDB0015655; HMDB0035692; HMDB0036703; HMDB0036709; HMDB0036775; HMDB0036811; HMDB0036826; HMDB0038172; HMDB0038687; HMDB0039486; HMDB0041928; HMDB01999; HMDB03598; HMDB15655; HMDB35692; HMDB36703; HMDB36709; HMDB36775; HMDB36811; HMDB36826; HMDB38172; HMDB38687; HMDB39486; HMDB41928,C02075; C06428; C07198; C09118; C12077,; CHEBI:27436; CHEBI:28364; CHEBI:545914; CHEBI:6039
618,302.09890976118515,3062.364353768056,-0.000386261185155945,C13H22NO3PS,-H(-),HMDB0031787; HMDB31787,C18659,CHEBI:38680
619,302.13515448204635,3098.4242727235555,0.0006036179536295094,C12H21N3O6,-H(-),HMDB0039423; HMDB39423,,
620,302.18662180727347,1778.271237435856,0.0007778927265462698,C17H25N3O2,-H(-),HMDB0015596; HMDB15596,,; CHEBI:334541
