sample_col_name,group_label,batch_id,merged_sample_id,sample_type
425,0,5,bioheart::419,formal_or_unknown
426,1,5,bioheart::420,formal_or_unknown
429,0,5,bioheart::421,formal_or_unknown
430,0,5,bioheart::422,formal_or_unknown
431,0,5,bioheart::423,formal_or_unknown
432,0,5,bioheart::424,formal_or_unknown
421,0,5,bioheart::425,formal_or_unknown
433,1,5,bioheart::426,formal_or_unknown
434,0,5,bioheart::427,formal_or_unknown
Pool,QC,5,bioheart::428,qc
435,0,5,bioheart::429,formal_or_unknown
436,0,5,bioheart::430,formal_or_unknown
422,0,5,bioheart::431,formal_or_unknown
438,0,5,bioheart::432,formal_or_unknown
342,0,5,bioheart::433,formal_or_unknown
439,0,5,bioheart::434,formal_or_unknown
440,1,5,bioheart::435,formal_or_unknown
441,0,5,bioheart::436,formal_or_unknown
442,1,5,bioheart::437,formal_or_unknown
443,0,5,bioheart::438,formal_or_unknown
Pool,QC,5,bioheart::439,qc
Pool,QC,6,bioheart::440,qc
Pool,QC,6,bioheart::441,qc
Pool,QC,6,bioheart::442,qc
402,0,6,bioheart::443,formal_or_unknown
449,1,6,bioheart::444,formal_or_unknown
393,0,6,bioheart::445,formal_or_unknown
380,1,6,bioheart::446,formal_or_unknown
369,0,6,bioheart::447,formal_or_unknown
444,0,6,bioheart::448,formal_or_unknown
446,0,6,bioheart::449,formal_or_unknown
440,1,6,bioheart::450,formal_or_unknown
447,1,6,bioheart::451,formal_or_unknown
448,0,6,bioheart::452,formal_or_unknown
Pool,QC,6,bioheart::453,qc
449,1,6,bioheart::454,formal_or_unknown
450,0,6,bioheart::455,formal_or_unknown
452,0,6,bioheart::456,formal_or_unknown
453,0,6,bioheart::457,formal_or_unknown
454,0,6,bioheart::458,formal_or_unknown
443,0,6,bioheart::459,formal_or_unknown
455,0,6,bioheart::460,formal_or_unknown
456,0,6,bioheart::461,formal_or_unknown
457,0,6,bioheart::462,formal_or_unknown
458,0,6,bioheart::463,formal_or_unknown
Pool,QC,6,bioheart::464,qc
459,1,6,bioheart::465,formal_or_unknown
460,1,6,bioheart::466,formal_or_unknown
461,0,6,bioheart::467,formal_or_unknown
462,0,6,bioheart::468,formal_or_unknown
463,0,6,bioheart::469,formal_or_unknown
464,0,6,bioheart::470,formal_or_unknown
465,0,6,bioheart::471,formal_or_unknown
466,0,6,bioheart::472,formal_or_unknown
467,1,6,bioheart::473,formal_or_unknown
Pool,QC,6,bioheart::474,qc
469,0,6,bioheart::475,formal_or_unknown
470,1,6,bioheart::476,formal_or_unknown
472,1,6,bioheart::477,formal_or_unknown
474,0,6,bioheart::478,formal_or_unknown
475,1,6,bioheart::479,formal_or_unknown
477,0,6,bioheart::480,formal_or_unknown
478,0,6,bioheart::481,formal_or_unknown
463,0,6,bioheart::482,formal_or_unknown
479,1,6,bioheart::483,formal_or_unknown
480,0,6,bioheart::484,formal_or_unknown
Pool,QC,6,bioheart::485,qc
481,0,6,bioheart::486,formal_or_unknown
477,0,6,bioheart::487,formal_or_unknown
482,1,6,bioheart::488,formal_or_unknown
483,1,6,bioheart::489,formal_or_unknown
485,0,6,bioheart::490,formal_or_unknown
486,1,6,bioheart::491,formal_or_unknown
487,0,6,bioheart::492,formal_or_unknown
489,1,6,bioheart::493,formal_or_unknown
490,0,6,bioheart::494,formal_or_unknown
491,1,6,bioheart::495,formal_or_unknown
Pool,QC,6,bioheart::496,qc
492,0,6,bioheart::497,formal_or_unknown
493,1,6,bioheart::498,formal_or_unknown
495,1,6,bioheart::499,formal_or_unknown
496,0,6,bioheart::500,formal_or_unknown
498,0,6,bioheart::501,formal_or_unknown
500,1,6,bioheart::502,formal_or_unknown
501,0,6,bioheart::503,formal_or_unknown
485,0,6,bioheart::504,formal_or_unknown
502,0,6,bioheart::505,formal_or_unknown
Pool,QC,6,bioheart::506,qc
504,0,6,bioheart::507,formal_or_unknown
505,0,6,bioheart::508,formal_or_unknown
507,1,6,bioheart::509,formal_or_unknown
491,1,6,bioheart::510,formal_or_unknown
508,0,6,bioheart::511,formal_or_unknown
509,0,6,bioheart::512,formal_or_unknown
510,0,6,bioheart::513,formal_or_unknown
511,0,6,bioheart::514,formal_or_unknown
512,1,6,bioheart::515,formal_or_unknown
513,1,6,bioheart::516,formal_or_unknown
Pool,QC,6,bioheart::517,qc
514,0,6,bioheart::518,formal_or_unknown
515,1,6,bioheart::519,formal_or_unknown
516,0,6,bioheart::520,formal_or_unknown
517,1,6,bioheart::521,formal_or_unknown
518,1,6,bioheart::522,formal_or_unknown
507,1,6,bioheart::523,formal_or_unknown
519,1,6,bioheart::524,formal_or_unknown
520,0,6,bioheart::525,formal_or_unknown
522,0,6,bioheart::526,formal_or_unknown
523,0,6,bioheart::527,formal_or_unknown
Pool,QC,6,bioheart::528,qc
Pool,QC,7,bioheart::529,qc
Pool,QC,7,bioheart::530,qc
498,0,7,bioheart::531,formal_or_unknown
483,1,7,bioheart::532,formal_or_unknown
508,0,7,bioheart::533,formal_or_unknown
490,0,7,bioheart::534,formal_or_unknown
524,0,7,bioheart::535,formal_or_unknown
525,0,7,bioheart::536,formal_or_unknown
520,0,7,bioheart::537,formal_or_unknown
526,0,7,bioheart::538,formal_or_unknown
527,1,7,bioheart::539,formal_or_unknown
Pool,QC,7,bioheart::540,qc
528,1,7,bioheart::541,formal_or_unknown
530,0,7,bioheart::542,formal_or_unknown
525,0,7,bioheart::543,formal_or_unknown
531,1,7,bioheart::544,formal_or_unknown
532,0,7,bioheart::545,formal_or_unknown
533,1,7,bioheart::546,formal_or_unknown
444,0,7,bioheart::547,formal_or_unknown
534,0,7,bioheart::548,formal_or_unknown
535,0,7,bioheart::549,formal_or_unknown
536,1,7,bioheart::550,formal_or_unknown
Pool,QC,7,bioheart::551,qc
533,1,7,bioheart::552,formal_or_unknown
537,0,7,bioheart::553,formal_or_unknown
538,0,7,bioheart::554,formal_or_unknown
539,0,7,bioheart::555,formal_or_unknown
540,1,7,bioheart::556,formal_or_unknown
541,0,7,bioheart::557,formal_or_unknown
545,0,7,bioheart::558,formal_or_unknown
546,0,7,bioheart::559,formal_or_unknown
547,1,7,bioheart::560,formal_or_unknown
548,0,7,bioheart::561,formal_or_unknown
Pool,QC,7,bioheart::562,qc
549,1,7,bioheart::563,formal_or_unknown
551,0,7,bioheart::564,formal_or_unknown
553,0,7,bioheart::565,formal_or_unknown
554,1,7,bioheart::566,formal_or_unknown
555,1,7,bioheart::567,formal_or_unknown
556,1,7,bioheart::568,formal_or_unknown
557,1,7,bioheart::569,formal_or_unknown
558,0,7,bioheart::570,formal_or_unknown
560,0,7,bioheart::571,formal_or_unknown
546,0,7,bioheart::572,formal_or_unknown
Pool,QC,7,bioheart::573,qc
561,0,7,bioheart::574,formal_or_unknown
562,0,7,bioheart::575,formal_or_unknown
564,0,7,bioheart::576,formal_or_unknown
565,1,7,bioheart::577,formal_or_unknown
566,1,7,bioheart::578,formal_or_unknown
568,1,7,bioheart::579,formal_or_unknown
569,0,7,bioheart::580,formal_or_unknown
548,0,7,bioheart::581,formal_or_unknown
570,0,7,bioheart::582,formal_or_unknown
571,0,7,bioheart::583,formal_or_unknown
Pool,QC,7,bioheart::584,qc
572,0,7,bioheart::585,formal_or_unknown
573,0,7,bioheart::586,formal_or_unknown
574,1,7,bioheart::587,formal_or_unknown
576,0,7,bioheart::588,formal_or_unknown
577,0,7,bioheart::589,formal_or_unknown
565,1,7,bioheart::590,formal_or_unknown
578,0,7,bioheart::591,formal_or_unknown
579,0,7,bioheart::592,formal_or_unknown
580,1,7,bioheart::593,formal_or_unknown
582,0,7,bioheart::594,formal_or_unknown
Pool,QC,7,bioheart::595,qc
583,0,7,bioheart::596,formal_or_unknown
570,0,7,bioheart::597,formal_or_unknown
585,0,7,bioheart::598,formal_or_unknown
586,0,7,bioheart::599,formal_or_unknown
587,0,7,bioheart::600,formal_or_unknown
588,1,7,bioheart::601,formal_or_unknown
590,0,7,bioheart::602,formal_or_unknown
591,0,7,bioheart::603,formal_or_unknown
593,0,7,bioheart::604,formal_or_unknown
595,0,7,bioheart::605,formal_or_unknown
Pool,QC,7,bioheart::606,qc
596,0,7,bioheart::607,formal_or_unknown
597,1,7,bioheart::608,formal_or_unknown
598,0,7,bioheart::609,formal_or_unknown
600,0,7,bioheart::610,formal_or_unknown
601,1,7,bioheart::611,formal_or_unknown
602,1,7,bioheart::612,formal_or_unknown
603,0,7,bioheart::613,formal_or_unknown
591,0,7,bioheart::614,formal_or_unknown
604,0,7,bioheart::615,formal_or_unknown
605,0,7,bioheart::616,formal_or_unknown
Pool,QC,7,bioheart::617,qc
Pool,QC,8,bioheart::618,qc
Pool,QC,8,bioheart::619,qc
583,0,8,bioheart::620,formal_or_unknown
527,1,8,bioheart::621,formal_or_unknown
539,0,8,bioheart::622,formal_or_unknown
549,1,8,bioheart::623,formal_or_unknown
570,0,8,bioheart::624,formal_or_unknown
600,0,8,bioheart::625,formal_or_unknown
607,0,8,bioheart::626,formal_or_unknown
608,1,8,bioheart::627,formal_or_unknown
610,0,8,bioheart::628,formal_or_unknown
611,0,8,bioheart::629,formal_or_unknown
Pool,QC,8,bioheart::630,qc
612,0,8,bioheart::631,formal_or_unknown
613,0,8,bioheart::632,formal_or_unknown
614,0,8,bioheart::633,formal_or_unknown
615,0,8,bioheart::634,formal_or_unknown
616,1,8,bioheart::635,formal_or_unknown
619,0,8,bioheart::636,formal_or_unknown
620,1,8,bioheart::637,formal_or_unknown
621,1,8,bioheart::638,formal_or_unknown
605,0,8,bioheart::639,formal_or_unknown
