sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
127 / P1_AA_0256,127,20200306_ecoli_4GHz_0127.d,20200320153656248-2492457,20200306_Plate1_052,P1_AA_0256,P001:160 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0256
128 / water,128,20200306_ecoli_4GHz_0128.d,20200320153657289-2492458,ctrl_p01_c1,water,P001:161 seq1 control,water,Batch7_0306 DATA,water
129 / P1_FA_0128,129,20200306_ecoli_4GHz_0129.d,20200320153658314-2492459,20200306_Plate1_065,P1_FA_0128,P001:163 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0128
130 / P1_FA_0128,130,20200306_ecoli_4GHz_0130.d,20200320153659365-2492460,20200306_Plate1_065,P1_FA_0128,P001:164 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0128
131 / P1_FA_0128,131,20200306_ecoli_4GHz_0131.d,20200320153700358-2492461,20200306_Plate1_065,P1_FA_0128,P001:165 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0128
132 / water,132,20200306_ecoli_4GHz_0132.d,20200320153701363-2492462,ctrl_p01_c1,water,P001:166 seq1 control,water,Batch7_0306 DATA,water
133 / P1_Bio_0002,133,20200306_ecoli_4GHz_0133.d,20200320153702391-2492463,20200306_Plate1_030,P1_Bio_0002,P001:168 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0002
134 / P1_Bio_0002,134,20200306_ecoli_4GHz_0134.d,20200320153703528-2492464,20200306_Plate1_030,P1_Bio_0002,P001:169 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0002
135 / P1_Bio_0002,135,20200306_ecoli_4GHz_0135.d,20200320153704543-2492465,20200306_Plate1_030,P1_Bio_0002,P001:170 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0002
136 / water,136,20200306_ecoli_4GHz_0136.d,20200320153705638-2492466,ctrl_p01_c1,water,P001:171 seq1 control,water,Batch7_0306 DATA,water
137 / water,137,20200306_ecoli_4GHz_0137.d,20200320153706653-2492467,ctrl_p01_c2,water,P001:172 seq1 control,water,Batch7_0306 DATA,water
138 / P1_Bio_0016,138,20200306_ecoli_4GHz_0138.d,20200320153707726-2492468,20200306_Plate1_033,P1_Bio_0016,P001:173 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0016
139 / P1_Bio_0016,139,20200306_ecoli_4GHz_0139.d,20200320153708926-2492469,20200306_Plate1_033,P1_Bio_0016,P001:174 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0016
140 / P1_Bio_0016,140,20200306_ecoli_4GHz_0140.d,20200320153710026-2492470,20200306_Plate1_033,P1_Bio_0016,P001:175 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0016
141 / water,141,20200306_ecoli_4GHz_0141.d,20200320153711043-2492471,ctrl_p01_c1,water,P001:176 seq1 control,water,Batch7_0306 DATA,water
142 / water,142,20200306_ecoli_4GHz_0142.d,20200320153712032-2492472,ctrl_p01_c2,water,P001:177 seq1 control,water,Batch7_0306 DATA,water
143 / P1_FA_1024,143,20200306_ecoli_4GHz_0143.d,20200320153713073-2492473,20200306_Plate1_068,P1_FA_1024,P001:178 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_1024
144 / P1_FA_1024,144,20200306_ecoli_4GHz_0144.d,20200320153714128-2492474,20200306_Plate1_068,P1_FA_1024,P001:179 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_1024
145 / P1_FA_1024,145,20200306_ecoli_4GHz_0145.d,20200320153715142-2492475,20200306_Plate1_068,P1_FA_1024,P001:180 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_1024
